SKU,Nombre,EAN detectado (revisar),EAN correcto
345/3,"Cubiertero Gde Con Tapa 35X31X5,5cm. Gris",7896359019463,
1844/1,Canasto De Ropa Rosa De 44Lts. (41X45X56Cm),7896390293106,
1820/2,,7896390293896,
2206/20,Basurero Redondo 6 Litros Negro,7896359043443,
1803/1,,8963902940212,
1918/1,,7896390294646,
2209/20,Recipiente Residuos Vaivén 9 Litros Negro,7896359043450,
278/20,"Recip. Residuos C/Tapa Vaivén 6,5 Lts. Negro",6359002842912,
12818,Sartén 18cm.,8427267116187,
723/57,Rectangular Alto Grande 4600Ml Rosa,7896359015240,
1922/1,,7896390294336,
1922/2,,7896390294406,
1844/2,Canasto De Ropa Gris De 44Lts. (41X45X56Cm),7896390293276,
1830/2,,7896390293586,
1820/1,,7896390293726,
1722/2,,7896390295016,
1320/20,Escurridor de cubiertos Negro,7896359044678,
1803/2,,8963902941912,
124,Hermético Cuadrado 530Ml,8965901314212,
1918/2,,7896390294716,
1830/1,,7896390293416,
1722/1,,7896390294956,
